Index,Project Title,Abstract
0,Experiences with IoT and ML in a Smart Campus for Optimizing Classroom Usage,"Increasing demand for university education is putting pressure on campuses to make better use of their real-estate resources. Evidence indicates that enrollments are rising, yet attendance is falling due to diverse demands on student time and easy access to online content. This paper outlines our efforts to address classroom under-utilization in a real University campus arising from the gap between enrollment and attendance. We do so by instrumenting classrooms with IoT sensors to measure real-time usage, using AI to predict attendance, and performing optimal allocation of rooms to courses so as to minimize space wastage. Our first contribution undertakes an evaluation of several IoT sensing approaches for measuring class occupancy, and comparing them in terms of cost, accuracy, privacy, and ease of deployment/operation. Our second contribution instruments 9 lecture halls of varying capacity across campus, collects and cleans live occupancy data spanning about 250 courses over two sessions, and draws insights into attendance patterns, including identification of canceled lectures and class tests, while also releasing our data openly to the public. Our third contribution is to use AI techniques for predicting classroom attendance, applying them to real data, and accurately predicting future attendance with an RMSE error as low as 0.16. Our final contribution is to develop an optimal allocation of classes to rooms based on predicting attendance rather than enrollment, resulting in over 10% savings in room costs with very low risk of room overflows."
1,Neural Network based Chess Engine,"Numerous published studies revealed that various researchers have attempted to build a program that learns to play cognitive games, given little or no earlier knowledge about the rule of the game. A usual chess playing machine thoroughly explores the moving possibilities from a chessboard configuration to choose what the next best move to make. The brute-force searching technique used by the Deep Blue chess engine has made vast impact in the ground of artificial intelligence, but still found to be resource hungry. This paper, with the concept of Artificial Neural Networks presents a very simple and efficient approach to develop an intelligent chess engine which can assist and hint the possible move within the game using the evolutionary and a adaptive computing technique on learning from the human grandmasters."
2,INORA HR System,"In the strategic human resource (HR) management literature, over the past three decades, a shared consensus has developed that the focus should be on HR systems rather than individual HR practices because the effects of HR practices are likely to depend on the other practices within the system. Despite this agreement, the extent to which the fundamental assumption in the field of interactions and synergy in the system holds true is unclear. We present a systematic review of 495 empirical studies on 516 HR systems in which we analyze the development of HR systems research over time and identify important trends, explicitly linking conceptualization and measurement of the HR system. Our findings suggest that the increasingly broad conceptualization and measurement of HR systems and the lack of clarity on the HR systems construct at different levels have hampered research progress. Much of the research to date does not align with the fundamental assumption of synergies between HR practices in a system, the measures have problems and increasingly confound HR systems with related concepts and outcomes, and insufficient attention is paid to the HR system construct at different levels. Overall, we thus still know little about the “systems” element and how synergies and interactions in an HR system operate. We offer actionable suggestions on how to advance HR systems research towards conceptual clarity and construct refinement, focusing both on how to conceptualize, measure, and combine practices in systems and on studying such systems at different levels of analysis."
3,Automated Satellite Data Analysis System for Land Use & Land Cover Identification ,"In this paper, urban growth of Bangalore region is analyzed and discussed by using multi-temporal and multi-spectral Landsat satellite images. Urban growth analysis helps in understanding the change detection of Bangalore region. The change detection is studied over a period of 39 years and the region of interest covers an area of 2182 km2. The main cause for urban growth is the increase in population. In India, rapid urbanization is witnessed due to an increase in the population, continuous development has affected the existence of natural resources. Therefore observing and monitoring the natural resources (land use) plays an important role. To analyze changed detection, researcher’s use remote sensing data. Continuous use of remote sensing data helps researchers to analyze the change detection. The main objective of this study is to monitor land cover changes of Bangalore district which covers rural and urban regions using multi-temporal and multi-sensor Landsat - multi-spectral scanner (MSS), thematic mapper (TM), Enhanced Thematic mapper plus (ETM+) MSS, TM and ETM+ images captured in the years 1973, 1992, 1999, 2002, 2005, 2008 and 2011. Temporal changes were determined by using maximum likelihood classification method. The classification results contain four land cover classes namely, built-up, vegetation, water and barren land. The results indicate that the region is densely developed which has resulted in decrease of water and vegetation regions. The continuous transformation of barren land to built-up region has affected water and vegetation regions. Generally, from 1973 to 2011 the percentage of urban region has increased from 4.6% to 25.43%, mainly due to urbanization."
4,Gender based Fraud Detection System ,"This survey paper categorises, compares, and summarises from almost all published technical and review articles in automatedfraud detection within the last 10 years. It defines the professionalfraudster, formalises the main types and subtypes of known fraud,and presents the nature of data evidence collected within affectedindustries. Within the business context of mining the data toachieve higher cost savings, this research presents methods andtechniques together with their problems. Compared to all relatedreviews on fraud detection, this survey covers much moretechnical articles and is the only one, to the best of ourknowledge, which proposes alternative data and solutions fromrelated domains."
5,Smart Baby Cradle system,"Cradle is a device that is used to put babies tosleep. Cradle has a side- to-side rocking motion that eases thebaby and put it to sleep. It takes lot of efforts from parent tophysically rock the cradle to generate swinging motion. Whenbaby is kept inside the cradle need to be constant monitoringparent to keep to track of baby's activity. The proposed idea inthis prototype of smart cradle will allow the cradle to efficientlyintegrate itself with a smartphone typically android device. AnArduino microcontroller will be used to assemble all the sensorsand hardware component required. Constant monitoring of thebaby inside the cradle will be done. If any activity such asurination or baby waking up from sleep occurs a notificationthrough an SMS will be sent to the parent’s device. The Smartcradle will also have additional features such as rocking the babyautomatically via geared motor mechanism. Also with someadditional features such as watching the baby live throughArduino camera. Use of various sensors such as PIR (passiveinfrared) sensor to detect light level inside the cradle, and PCBfor sensing wet conditions etc. will only add to the efficiency ofthe cradle. The cradle is suitable for parents who are not able toinvest all their time at home sitting near the baby. Otherapplications of this cradle can be at a maternity hospital as anassistant to the staff who are responsible to look after the baby."
6,Grievence Redressal System,"The aim of this research is to develop a unified model of electronic government (e-government) system adoption and validate it using the data gathered from 419 citizens from few selected cities in India. In course of doing so, the research also evaluates the performance of nine well-known alternative theoretical models of information technology (IT) adoption including the unified theory of acceptance and use of technology (UTAUT). The results indicate that the proposed unified model for e-government adoption by this research has outperformed all other theoretical models by explaining highest 66% variance on behavioral intentions, adequately acceptable levels of fit indices, and significant relationships between each hypothesis. The research also provides its limitations and presents implications for theory and practice toward the end."
7,Guesture Controlled Home Automation,"In this paper, we propose a Voice and Gesture Operated home automation system with a centralcontroller that allows disabled people to manipulate household appliances with their own voiceand gesture commands. The developed system consists of three main parts, such as KinectMotion Sensor, Central Controller, and Network Coordinator. The whole system is based on aWireless Sensor Network with a gateway to communicate with each device-controlling unit,which is fixed in each room or device group. Sensor node houses a Nodemcu and an Opto-isolator relay module where each Nodemcu works as a webserver and a client simultaneously,in order to communicate with the central computer that is allocated with a designated IPaddress. With this approach, system shows over 80% accuracy with gesture and voice withexternal noise level."
8,Campus Security System,"In order to prevent campus theft incidents, campus intelligent security was put forward to solve campus security problems. At present, most security systems in campus are mainly video surveillance. In most cases, some measures are just as later view tool. In view of the above problems, campus intelligent security is selected as the main research object. On the basis of in-depth analysis of the Internet of things technology, this paper makes innovative and exploratory research on RFID tag chip technology, GSM communication technology, keyboard input and LCD display. The results show that the new design of security can effectively prevent campus safety accidents. Based on the above finding, it is concluded that the school should realize the campus security system based on Internet of things as soon as possible, and provide a good living and learning environment for students at school."
9,Twitter Sentiment Analysis using Machine Learning for Product Evaluation,"Twitter, a micro-running a blog website, is amassive repository of public opinions expressed in the directionof numerous humans, offerings, companies, merchandise, etc.Sentiment evaluation is the system of analyzing one's publicevaluations. Sentiment analysis whilst combined with twi tteroffers beneficial insights into what's expressed on Twitter. Thebig availability of online evaluations and postings in socialmedia gives invaluable feedback for grou ps to make betterknowledgeable choices in guidance their marketing techniquestowards user’s pastimes and alternatives. S entiment evaluationis, therefore, vital for determining the general public’s opiniontoward selected services or products. This paper emphasizesthe different techniques utilized for classifying the productcritiques (which can be within the form of tweets) according tocritiques expressed in tweets to analyze whether or not themassive behavior is positive, negative or neutral and use of thatanalysis for the evaluation of product market. Data used in thislook at our online product critiques gathered from twitter andused to rank the satisfactory classifier for sentiments"
